Year,t_value
1967,8
1972,2.33
1973,0.86
1973,1.11
1975,2.1807
1976,1.905
1977,2.472
1979,6.33
1981,2.281
1981,2.92
1981,2.786
1983,2.617
1985,2.72
1985,1.61
1985,2.56
1985,2.87
1985,1.41
1985,3.14
1986,5.1
1986,0.996
1988,3.93
1989,3.594
1989,5.1
1989,6.23
1990,6.94
1991,2.57
1991,2.16
1992,2.58
1992,5.71
1993,2.6
1994,1.969
1994,0.954
1994,1.146
1994,4.5
1994,2.83
1995,2.68
1995,3.01
1995,3.68
1995,3.37
1995,6.33
1996,3.37
1996,2.61
1996,2.385
1996,4.9
1996,3.1
1996,6.15
1996,10.96
1996,2.88
1996,3.68
1996,5.8313
1997,10.07
1997,4.17
1997,2.46
1997,2.5758
1997,3.73
1998,3.37
1998,8.58
1999,7.797
1999,5.8
2000,3.59
2000,5.273
2000,4.66
2000,4.28
2000,9.27
2000,5.66
2000,6.86
2000,3.4
2000,6.75
2001,2.364
2001,3.56
2001,5.1
2001,3.09
2001,8.108
2001,4.99
2001,2.49
2002,3.418
2002,3.291
2002,2.31
2002,2.67
2002,2.496
2002,6.4
2002,2.49
2002,5.39
2003,2.14
2003,3.42
2003,2.375
2003,8.44
2003,3.22
2003,2.12
2003,6.93
2004,5.54
2004,2.375
2004,10
2004,5.166
2004,2.712
2004,2.39
2004,3.44
2004,2.72
2004,3.2905
2004,4.08
2004,5.14
2004,2.41
2004,3.2905
2005,4.7
2005,2.458
2005,2.6
2005,4.01
2005,2.92
2005,2.532
2005,2.21
2005,4.86
2005,2.37
2005,2.64
2005,2.87
2005,2.28
2005,4.5
2005,4.13
2005,7.272
2005,10.41
2006,2.41
2006,1.313
2006,2.651
2006,2.971
2006,2.249
2006,3.01
2006,2.68
2006,2.39
2006,3.1
2006,2.269
2006,3.03
2006,10.961
2006,3.7
2006,2.21
2006,19.62
2006,6.97
2006,5.51
2006,3.42
2006,0.838
2006,1.875
2006,0.0395
2006,3.99
2006,2.4
2006,1.34
2006,5.7
2006,3.6
2006,2.25
2006,4.31
2006,7.28
2007,4.14
2007,3.12
2007,2.62
2007,3.64
2007,4.21
2007,3.73
2007,5.03
2007,3.14
2007,2.46
2007,3.45
2007,3
2008,3.37
2008,5.79
2008,4.54
2008,3.38
2008,4.21
2008,4.58
2008,1.964
2008,0.994
2008,3.186
2008,2.941
2008,2.853
2008,3.14
2008,3.37
2008,5.62
2008,6.14
2008,6.52
2008,6.72
2008,3.57
2008,4.16
2008,5.23
2008,7.31
2008,3.4
2008,2.52
2008,4.24
2008,3.58
2009,3.43
2009,3.11
2009,2.69
2009,3.05
2009,4.36
2009,1.95
2009,0.76
2009,2.77
2009,1.986
2009,2.41
2009,13.65
2009,3.158
2009,2.9
2009,4.2
2009,3.6
2009,2.1084
2009,5.08
2009,5.51
2009,9.26
2009,4.27
2009,2.95
2009,5.26
2009,3.1559
2009,2.4
2010,3.24
2010,4.83
2010,2.28
2010,5.22
2010,2.23
2010,2.73
2010,2.15
2010,4.29
2010,2.83
2010,3.47
2010,2.78
2010,3.52
2010,3.22
2010,4.661
2010,3.158
2010,19.08
2010,3.42
2010,3.27
2011,3.79
2011,5.85
2011,4.82
2011,7.9
2011,9.5
2011,3.68
2011,3.24
2011,3.56
2011,5.39
2011,7.4
2011,3.46
2011,2.55
2011,4.1
2011,4.68
2011,6.05
2011,11.9
2011,5.9
2011,3.6
2011,6.02
2011,2.46
2011,3.2905
2011,2.74
2011,5.84
2011,2.83
2011,3.6
2011,3.51
2011,3
2011,6.42
2011,2.59
2012,3.33
2012,1.2
2012,4.09
2012,2.66
2012,2.79
2012,3.77
2012,0.83
2012,0.42
2012,3.6
2012,2.4
2012,1.472
2012,4.353
2012,3.61
2012,2.21
2012,2.35
2012,2.37
2012,2.143
2012,3.07
2012,4.5
2012,5.57
2012,4.05
2012,5.25
2012,3.32
2012,3.36
2012,5.611
2012,4.5
2012,3.44
2012,2.14
2012,2.41
2012,3.94
2012,2.02
2012,3.01
2012,2.3
2012,3.37
2012,4.96
2012,3.13
2012,6.57
2012,3.92
2012,2.28
2012,3.23
2012,3.1
2012,7.99
2012,2.9975
2012,3.83
2012,2.62
2012,2.89
2012,4.03
2012,3.79
2012,2.92
2012,2.3
2012,4.394
2012,4.63
2012,4.09
2012,2.5
2012,2.4
2012,4.26
2012,9.83
2012,8.77
2012,4.62
